issn_l,cr_year,article_total,upw_hybrid_total,cr_hybrid_total,cat
0140-6736,2020,1643,103,83,Global
1936-0851,2020,1642,193,15,Global
0960-8524,2020,1638,41,41,Global
0743-7463,2021,1637,126,133,Global
0960-8524,2019,1635,39,23,Global
0013-4651,2019,1633,85,647,Global
2053-2733,2021,1631,20,20,Global
0022-5223,2018,1630,12,11,Global
0269-7491,2019,1626,41,42,Global
0013-936X,2019,1620,174,1,Global
0268-3768,2020,1618,164,164,Global
0167-7322,2017,1616,0,0,Global
0021-8561,2019,1615,42,0,Global
0013-4651,2020,1615,670,708,Global
0094-8276,2020,1614,530,533,Global
0960-8524,2017,1610,48,26,Global
0935-9648,2019,1610,99,96,Global
0887-0624,2021,1605,82,89,Global
0021-8561,2018,1605,34,0,Global
0028-3878,2020,1605,129,0,Global
0921-5093,2021,1603,69,71,Global
0012-3692,2018,1599,15,14,Global
0042-4900,2018,1598,41,0,Global
0268-3768,2019,1596,79,79,Global
0960-7692,2017,1593,11,11,Global
0378-4371,2018,1592,38,9,Global
0741-5214,2018,1591,7,7,Global
0730-2312,2018,1590,32,31,Global
0094-8276,2019,1586,382,375,Global
0167-577X,2017,1585,7,7,Global
0888-5885,2017,1581,41,0,Global
0263-8223,2021,1580,96,95,Global
0263-2241,2021,1575,96,97,Global
2574-0962,2021,1573,91,92,Global
1861-194X,2020,1570,0,0,Global
2327-4662,2021,1566,9,22,Global
1948-7185,2020,1565,165,26,Global
0017-9310,2017,1562,18,18,Global
0254-0584,2020,1559,4,4,Global
0021-8561,2020,1559,67,19,Global
2365-6549,2021,1555,34,32,Global
0021-9541,2018,1554,55,52,Global
1013-9826,2018,1553,47,47,Global
0925-2312,2020,1550,27,27,Global
0255-5476,2017,1549,12,12,Global
0021-8561,2021,1547,74,85,Global
0741-5214,2021,1546,30,26,Global
0268-3768,2017,1546,48,60,Global
1861-194X,2019,1545,0,0,Global
1359-8368,2019,1540,10,10,Global
0042-4900,2017,1540,2,2,Global
0013-4651,2018,1536,13,582,Global
0029-8018,2021,1535,106,106,Global
0009-7322,2018,1533,51,0,Global
0022-3263,2020,1529,95,19,Global
0741-5214,2020,1528,18,16,Global
0935-9648,2017,1525,44,44,Global
0887-0624,2020,1522,77,5,Global
0960-1481,2019,1520,47,47,Global
0022-3263,2017,1518,56,0,Global
0957-4484,2020,1517,95,137,Global
0957-4174,2021,1506,70,73,Global
0013-4651,2021,1505,528,530,Global
0028-3878,2018,1504,92,0,Global
0901-5027,2017,1503,4,3,Global
0022-5223,2020,1502,23,20,Global
0022-2860,2017,1497,1,1,Global
0167-5273,2018,1494,75,75,Global
0269-7491,2018,1492,39,39,Global
1530-437X,2019,1492,46,27,Global
0017-9310,2020,1491,34,34,Global
0887-0624,2017,1491,30,0,Global
0021-8995,2021,1491,69,69,Global
0006-291X,2021,1490,190,190,Global
1861-194X,2021,1489,0,0,Global
0013-4651,2017,1487,2,0,Global
0094-8276,2018,1486,313,297,Global
1936-0851,2019,1485,125,2,Global
1380-7501,2018,1485,40,42,Global
1396-0296,2020,1481,18,17,Global
0161-8105,2017,1477,30,2,Global
1389-9457,2017,1474,11,11,Global
0921-5093,2019,1472,33,33,Global
0925-4005,2020,1469,24,24,Global
1383-5866,2020,1468,61,61,Global
1013-9826,2020,1467,1,1,Global
0018-9545,2020,1461,19,27,Global
0144-8617,2021,1461,78,78,Global
0144-8617,2020,1459,67,32,Global
0090-8258,2020,1458,51,50,Global
0140-6736,2021,1458,80,75,Global
0022-2860,2019,1458,4,4,Global
0304-8853,2019,1457,33,18,Global
0141-8130,2017,1457,34,3,Global
2574-0970,2021,1455,93,95,Global
0021-8995,2020,1453,49,50,Global
0921-5093,2017,1452,16,16,Global
0029-7844,2019,1446,24,0,Global
2155-5435,2021,1444,172,190,Global
0021-8561,2017,1443,40,0,Global
0301-4797,2020,1443,78,79,Global
1364-0321,2017,1435,44,44,Global
