issn_l,cr_year,article_total,upw_hybrid_total,cr_hybrid_total,cat
0003-2417,2020,144,38,37,Germany
0300-8126,2020,48,37,37,Germany
1351-5101,2020,46,37,37,Germany
0028-3320,2021,54,37,37,Germany
1433-7851,2017,517,37,37,Germany
0048-5772,2021,38,36,37,Germany
1744-683X,2018,98,36,36,Germany
1469-221X,2021,37,33,36,Germany
1431-6730,2021,78,26,36,Germany
0892-6638,2020,46,36,36,Germany
0268-3768,2020,47,36,36,Germany
0948-6704,2021,96,36,36,Germany
2169-9275,2021,37,35,36,Germany
0172-1631,2021,65,36,36,Germany
1469-221X,2020,40,34,36,Germany
1386-6184,2020,38,36,36,Germany
0960-7412,2020,38,34,35,Germany
2367-198X,2021,42,33,35,Germany
1942-7603,2020,37,34,35,Germany
1367-4803,2019,65,35,35,Germany
0023-2653,2021,39,33,35,Germany
0930-7516,2021,38,35,35,Germany
2195-1071,2020,40,35,35,Germany
0944-1344,2021,43,34,35,Germany
1477-9226,2019,152,35,35,Germany
0021-8898,2021,37,35,35,Germany
1434-6001,2020,46,36,35,Germany
0028-646X,2019,69,37,35,Germany
1430-6387,2020,37,35,35,Germany
0960-7412,2021,38,35,35,Germany
1861-6755,2020,49,35,35,Germany
2192-6506,2020,42,35,35,Germany
0266-7061,2019,65,35,35,Germany
0031-6768,2021,36,36,35,Germany
2366-6218,2021,47,34,34,Germany
1862-6300,2020,40,34,34,Germany
1022-1336,2020,37,33,34,Germany
1420-682X,2021,37,34,34,Germany
1554-351X,2021,36,34,34,Germany
2040-3364,2019,92,34,34,Germany
1861-6410,2020,36,33,34,Germany
0178-7675,2021,38,34,34,Germany
0939-5555,2021,36,33,34,Germany
0007-0963,2020,45,33,34,Germany
0049-8653,2021,36,33,34,Germany
1438-1656,2019,57,33,33,Germany
1869-1439,2020,47,33,33,Germany
1462-2912,2020,41,33,33,Germany
1867-0202,2020,38,32,33,Germany
0014-2980,2020,38,33,33,Germany
0017-6192,2021,101,33,33,Germany
0175-7598,2020,39,33,33,Germany
0962-1083,2020,36,33,33,Germany
0007-0963,2021,44,32,33,Germany
1867-3880,2019,72,32,32,Germany
0937-9827,2021,36,34,32,Germany
2366-6218,2020,39,32,32,Germany
0043-2288,2021,34,33,32,Germany
2194-4288,2020,41,31,32,Germany
0022-2461,2021,37,32,32,Germany
0167-7055,2020,42,33,32,Germany
0168-9002,2018,88,32,32,Germany
0007-1188,2020,39,32,32,Germany
0094-2405,2021,35,31,32,Germany
0039-7857,2020,39,32,32,Germany
1292-8941,2021,36,32,32,Germany
0939-1533,2021,33,31,31,Germany
1022-1352,2021,34,32,31,Germany
0021-8995,2021,36,31,31,Germany
0942-2056,2020,60,30,31,Germany
0266-7061,2020,64,31,31,Germany
1860-7179,2021,38,30,31,Germany
0035-8711,2021,253,30,31,Germany
0303-402X,2020,35,31,31,Germany
1463-9076,2017,261,54,31,Germany
1367-4803,2020,64,31,31,Germany
2469-9926,2021,173,31,31,Germany
1436-9990,2019,160,31,31,Germany
0197-9337,2021,31,30,31,Germany
0048-9697,2020,158,31,31,Germany
0340-2444,2020,46,30,31,Germany
0138-9130,2020,36,29,31,Germany
1951-6355,2021,34,30,30,Germany
1437-3254,2021,34,30,30,Germany
0340-4099,2021,32,30,30,Germany
1867-0202,2021,33,30,30,Germany
0003-2417,2021,130,31,30,Germany
0340-1855,2020,118,30,30,Germany
0340-1855,2021,102,29,30,Germany
2050-7496,2021,54,27,30,Germany
0035-8711,2020,310,30,30,Germany
1744-683X,2020,75,30,30,Germany
0017-8470,2020,148,30,30,Germany
0017-6192,2020,138,31,30,Germany
1943-3921,2021,33,29,30,Germany
0006-3592,2021,33,30,30,Germany
0168-1656,2017,97,29,29,Germany
0006-3592,2020,37,28,29,Germany
1525-2027,2021,30,26,29,Germany
0001-6268,2021,34,29,29,Germany
1942-7603,2021,39,29,29,Germany
1439-4227,2019,94,31,29,Germany
1525-2027,2020,30,29,29,Germany
0044-2313,2019,71,29,29,Germany
0029-5981,2021,30,29,29,Germany
0740-3194,2019,67,29,29,Germany
1862-6254,2021,37,28,29,Germany
0724-4983,2020,52,30,29,Germany
0048-2129,2019,29,0,29,Germany
1943-3921,2020,37,30,29,Germany
0001-6268,2020,55,29,29,Germany
1435-2443,2020,36,29,29,Germany
1367-4803,2017,70,31,28,Germany
0026-9298,2020,162,28,28,Germany
0266-7061,2017,70,31,28,Germany
0937-9819,2020,47,28,28,Germany
0007-0920,2018,32,31,28,Germany
0340-0727,2020,33,28,28,Germany
1434-6222,2021,85,27,28,Germany
0935-6185,2020,71,28,28,Germany
0960-7412,2019,45,28,28,Germany
0022-0957,2020,48,28,28,Germany
0032-0889,2021,57,29,28,Germany
2199-160X,2020,30,28,28,Germany
2040-3364,2021,65,26,28,Germany
2566-6223,2021,36,26,28,Germany
1436-8730,2020,32,28,28,Germany
1530-6984,2021,63,24,28,Germany
0026-9298,2021,141,27,28,Germany
0172-1631,2020,63,27,28,Germany
1862-6300,2021,37,28,28,Germany
0344-5607,2020,36,27,28,Germany
0179-1958,2021,39,28,28,Germany
0953-8984,2019,72,28,28,Germany
1477-9226,2020,125,28,28,Germany
0177-5537,2020,132,27,27,Germany
0741-3335,2020,33,27,27,Germany
2050-7496,2020,59,27,27,Germany
1932-7447,2021,211,26,27,Germany
0160-564X,2021,34,25,27,Germany
0138-9130,2021,30,27,27,Germany
1751-7362,2021,29,27,27,Germany
1744-683X,2019,81,27,27,Germany
1062-7995,2021,29,26,27,Germany
1936-0851,2021,65,23,27,Germany
0950-9232,2021,27,27,27,Germany
0946-2716,2021,32,27,27,Germany
0022-2461,2020,33,27,27,Germany
0944-2502,2021,31,27,27,Germany
1099-0690,2019,89,28,27,Germany
1869-5582,2020,29,26,26,Germany
0930-7516,2019,76,26,26,Germany
1611-3683,2021,29,25,26,Germany
0013-9580,2021,30,26,26,Germany
0340-2444,2021,41,24,26,Germany
1018-8827,2021,31,26,26,Germany
0174-1551,2021,36,27,26,Germany
2367-0932,2021,34,26,26,Germany
1615-4150,2020,28,26,26,Germany
1434-6001,2021,33,26,26,Germany
0020-7136,2019,86,28,26,Germany
0884-1616,2021,29,26,26,Germany
1018-8827,2020,29,26,26,Germany
2367-198X,2020,33,26,26,Germany
0951-4198,2020,29,26,26,Germany
0031-9155,2021,40,9,26,Germany
1359-7345,2018,159,25,26,Germany
1755-375X,2021,33,26,26,Germany
1436-8730,2021,28,26,26,Germany
0023-2653,2020,31,23,25,Germany
0140-7791,2020,28,25,25,Germany
0936-5931,2021,28,13,25,Germany
0886-0440,2020,37,25,25,Germany
0001-6322,2020,27,26,25,Germany
0015-7899,2020,32,25,25,Germany
1022-1336,2019,40,25,25,Germany
2155-5435,2021,90,23,25,Germany
0016-5751,2017,169,38,25,Germany
0887-6924,2019,67,24,25,Germany
0007-1188,2021,28,25,25,Germany
2199-160X,2021,29,24,25,Germany
1477-9226,2021,107,25,25,Germany
1436-9990,2017,138,19,25,Germany
0094-2405,2020,29,25,25,Germany
0885-3185,2020,42,25,25,Germany
2365-709X,2021,28,24,25,Germany
0022-0957,2018,39,24,25,Germany
1420-682X,2020,30,25,25,Germany
2193-6218,2021,97,24,25,Germany
0886-0440,2021,34,25,25,Germany
0022-0957,2021,48,25,25,Germany
2192-1741,2020,27,24,24,Germany
1569-5794,2020,29,23,24,Germany
1478-3223,2021,24,24,24,Germany
0165-0009,2020,31,24,24,Germany
2365-6549,2020,28,24,24,Germany
0035-9009,2021,24,23,24,Germany
0007-0920,2020,24,24,24,Germany
0946-2716,2020,26,21,24,Germany
1019-6781,2021,25,24,24,Germany
0268-3369,2021,25,24,24,Germany
2470-0045,2021,155,26,24,Germany
0940-6719,2021,34,24,24,Germany
1867-0180,2020,24,23,24,Germany
1862-7072,2020,40,24,24,Germany
0943-1853,2021,25,23,24,Germany
2509-7075,2021,72,11,24,Germany
1759-9954,2020,52,24,24,Germany
1618-808X,2021,41,22,24,Germany
0007-0963,2019,93,24,24,Germany
0022-3727,2021,35,10,24,Germany
0001-6322,2021,27,24,24,Germany
0952-3480,2020,29,23,24,Germany
1863-6683,2021,26,23,24,Germany
0010-3616,2021,32,25,24,Germany
1865-1674,2020,24,23,24,Germany
1388-9842,2021,28,23,24,Germany
0031-6768,2020,31,24,24,Germany
2509-3150,2020,27,24,24,Germany
0167-9899,2020,29,23,24,Germany
0960-9822,2021,82,23,23,Germany
1438-2377,2021,27,24,23,Germany
0340-7004,2020,28,23,23,Germany
1864-063X,2020,25,23,23,Germany
0002-7820,2020,27,23,23,Germany
0300-8428,2020,26,23,23,Germany
1862-6254,2020,27,23,23,Germany
2169-9275,2020,24,22,23,Germany
2572-4525,2020,25,23,23,Germany
1951-6355,2020,29,23,23,Germany
2566-6223,2020,35,23,23,Germany
0935-6185,2021,54,23,23,Germany
0375-9474,2019,27,23,23,Germany
2469-9926,2020,187,25,23,Germany
0300-9564,2020,33,22,23,Germany
0930-2794,2021,29,23,23,Germany
0941-4355,2021,26,23,23,Germany
0962-9343,2021,25,23,23,Germany
0170-6012,2021,52,23,23,Germany
1865-2646,2021,25,23,23,Germany
0040-5752,2021,23,22,23,Germany
0944-2502,2020,29,23,23,Germany
1862-6599,2020,40,23,23,Germany
2040-3364,2018,113,23,23,Germany
0937-9827,2020,33,23,23,Germany
2169-897X,2021,25,23,23,Germany
1432-8488,2020,26,22,23,Germany
0031-9155,2020,47,20,23,Germany
1022-1352,2019,35,23,23,Germany
0022-0477,2021,24,23,23,Germany
0941-4355,2020,27,24,23,Germany
1862-4057,2021,25,23,23,Germany
0009-4722,2020,163,22,23,Germany
1359-4184,2021,24,23,23,Germany
0944-1344,2020,31,22,23,Germany
1018-4813,2021,26,23,22,Germany
0021-8898,2020,26,22,22,Germany
2470-0045,2020,151,27,22,Germany
0261-4189,2019,40,22,22,Germany
1948-7185,2021,84,19,22,Germany
0364-5134,2021,29,21,22,Germany
1614-6832,2019,52,22,22,Germany
0885-6087,2021,23,21,22,Germany
0029-5981,2020,25,22,22,Germany
0174-1551,2020,39,22,22,Germany
1549-9618,2021,83,21,22,Germany
0741-3335,2018,40,22,22,Germany
0906-6705,2020,27,22,22,Germany
0340-2592,2021,161,24,22,Germany
1019-6781,2020,26,22,22,Germany
1865-3553,2020,23,22,22,Germany
0031-9155,2019,48,22,22,Germany
0044-2585,2020,28,24,22,Germany
1865-3553,2021,24,22,22,Germany
0022-3727,2020,41,22,22,Germany
0948-6143,2020,23,21,22,Germany
1863-2653,2021,27,22,22,Germany
0021-8995,2020,26,22,22,Germany
0905-7161,2021,22,21,22,Germany
0944-5587,2017,69,0,22,Germany
1069-9384,2021,23,22,22,Germany
1751-7362,2020,24,22,22,Germany
1866-9557,2020,25,20,21,Germany
0036-6978,2020,24,21,21,Germany
0173-5322,2020,23,21,21,Germany
0028-1298,2021,23,21,21,Germany
0936-5931,2019,24,21,21,Germany
1438-7492,2021,23,20,21,Germany
0014-4819,2020,24,21,21,Germany
0300-8428,2021,22,21,21,Germany
0043-1397,2019,36,21,21,Germany
2050-7496,2019,51,21,21,Germany
2169-9313,2019,39,21,21,Germany
0936-5931,2018,24,20,21,Germany
1613-6810,2019,63,21,21,Germany
0930-2794,2020,27,21,21,Germany
0048-9697,2018,171,21,21,Germany
0948-6704,2020,89,22,21,Germany
2197-0378,2021,23,22,21,Germany
0935-7335,2020,29,21,21,Germany
2475-9953,2020,78,26,21,Germany
0174-3635,2020,24,20,21,Germany
0306-5251,2020,21,21,21,Germany
0085-4530,2021,98,20,21,Germany
0962-8452,2020,52,26,21,Germany
1439-4235,2019,65,20,21,Germany
2572-4525,2021,22,21,21,Germany
0085-4530,2020,126,18,21,Germany
1436-6207,2021,23,21,21,Germany
2194-072X,2020,21,19,21,Germany
0741-3335,2019,25,20,20,Germany
0935-1175,2021,23,20,20,Germany
1388-9842,2020,32,20,20,Germany
0959-8049,2021,71,20,20,Germany
1862-6300,2019,65,19,20,Germany
1359-6454,2021,77,20,20,Germany
0953-4075,2020,36,19,20,Germany
0014-5793,2020,23,20,20,Germany
2059-8521,2021,20,20,20,Germany
0094-8276,2018,76,20,20,Germany
0035-9009,2020,22,20,20,Germany
0933-5137,2021,21,20,20,Germany
1615-4150,2021,25,20,20,Germany
0370-1972,2019,62,20,20,Germany
1522-1946,2020,29,20,20,Germany
0942-9352,2019,29,9,20,Germany
2169-8953,2021,22,19,20,Germany
0944-2669,2021,22,20,20,Germany
1461-023X,2021,21,20,20,Germany
2169-9380,2021,25,17,20,Germany
1611-3683,2020,25,20,20,Germany
0953-8984,2020,56,19,20,Germany
0022-1120,2020,38,19,20,Germany
2365-659X,2020,25,14,20,Germany
2510-1226,2021,21,19,20,Germany
1618-2162,2021,24,20,20,Germany
1867-5905,2021,41,20,20,Germany
1866-2188,2020,32,19,20,Germany
0048-5772,2020,21,20,20,Germany
0270-9139,2021,25,20,20,Germany
1616-5187,2020,21,20,20,Germany
1759-9954,2019,46,20,20,Germany
1434-5293,2021,31,20,20,Germany
1022-1352,2020,25,19,19,Germany
1759-9954,2021,42,19,19,Germany
0025-5610,2021,21,19,19,Germany
1865-2646,2020,21,19,19,Germany
0021-8901,2021,20,20,19,Germany
0022-3727,2019,43,17,19,Germany
0028-3940,2021,22,19,19,Germany
1867-0180,2021,24,19,19,Germany
0267-8179,2021,21,18,19,Germany
2041-210X,2021,19,19,19,Germany
1359-4184,2020,27,19,19,Germany
0741-238X,2020,21,20,19,Germany
1618-2162,2020,21,19,19,Germany
0178-7675,2020,23,19,19,Germany
0375-9474,2017,28,19,19,Germany
0947-8396,2020,24,18,19,Germany
0340-0131,2020,20,19,19,Germany
2365-709X,2020,20,19,19,Germany
0863-1808,2020,21,19,19,Germany
0378-7753,2021,67,19,19,Germany
0926-9959,2019,102,19,19,Germany
2701-0198,2021,20,19,19,Germany
0306-2619,2021,65,19,19,Germany
0953-816X,2019,30,19,19,Germany
0170-4214,2021,21,19,19,Germany
0024-3590,2021,20,19,19,Germany
0947-8396,2021,20,19,19,Germany
1618-808X,2020,35,18,19,Germany
0004-6337,2021,22,18,19,Germany
0167-9899,2021,23,20,19,Germany
0936-5931,2017,20,18,19,Germany
0950-382X,2021,19,18,19,Germany
0340-7004,2021,20,19,19,Germany
0930-7575,2020,23,19,19,Germany
1520-5207,2021,72,17,19,Germany
0029-8549,2021,20,19,19,Germany
0048-9697,2019,180,19,19,Germany
0863-1808,2021,21,19,19,Germany
0031-0220,2021,22,19,19,Germany
1047-3211,2020,43,18,18,Germany
1660-9336,2017,50,18,18,Germany
0894-1491,2020,18,18,18,Germany
0940-6719,2020,27,19,18,Germany
0933-1875,2020,25,17,18,Germany
0007-0920,2021,21,18,18,Germany
1430-483X,2021,23,18,18,Germany
0105-1873,2021,19,18,18,Germany
0364-5134,2020,26,18,18,Germany
0035-9009,2019,27,18,18,Germany
0044-7447,2021,19,18,18,Germany
0932-433X,2021,58,18,18,Germany
1438-2377,2020,26,19,18,Germany
0031-9252,2020,40,18,18,Germany
1046-1310,2020,19,17,18,Germany
0255-5476,2018,82,18,18,Germany
1462-2912,2019,39,17,18,Germany
0022-3042,2020,23,18,18,Germany
0007-1048,2021,23,19,18,Germany
1863-2297,2021,19,18,18,Germany
0939-1533,2020,26,18,18,Germany
1660-9336,2018,43,18,18,Germany
1068-9265,2021,19,18,18,Germany
0944-2669,2020,20,18,18,Germany
0165-0009,2021,21,18,18,Germany
0007-0920,2019,19,19,18,Germany
0932-383X,2021,28,18,18,Germany
0022-3751,2020,25,18,18,Germany
0323-3847,2020,21,18,18,Germany
0009-4722,2021,168,17,18,Germany
2469-9985,2020,68,18,18,Germany
2196-0216,2019,51,18,18,Germany
0012-186X,2021,19,18,18,Germany
0730-7268,2021,21,18,18,Germany
1469-221X,2019,41,18,18,Germany
1612-8850,2020,23,18,18,Germany
1525-0016,2019,18,18,18,Germany
0741-3335,2021,19,6,18,Germany
0025-5874,2020,24,18,18,Germany
1040-4651,2021,28,17,18,Germany
0013-9580,2020,21,18,18,Germany
1463-9262,2020,41,18,18,Germany
1751-7362,2019,30,18,18,Germany
0960-9822,2020,79,18,18,Germany
0020-7608,2020,21,18,18,Germany
1387-1307,2020,22,17,18,Germany
1613-4125,2020,19,18,18,Germany
0177-5537,2021,116,18,18,Germany
2367-0932,2020,28,18,18,Germany
0946-2171,2020,19,18,18,Germany
1866-2188,2021,34,15,17,Germany
2062-249X,2021,18,17,17,Germany
1864-5631,2019,54,17,17,Germany
2661-8907,2021,18,17,17,Germany
0042-1138,2021,60,16,17,Germany
0932-0113,2020,20,17,17,Germany
0033-2917,2021,22,16,17,Germany
0021-8898,2017,32,17,17,Germany
1545-5009,2021,24,16,17,Germany
1868-2502,2020,20,17,17,Germany
0340-0131,2021,23,21,17,Germany
0160-564X,2020,30,17,17,Germany
0017-5749,2021,25,15,17,Germany
0931-041X,2021,19,16,17,Germany
2524-4957,2020,17,17,17,Germany
0945-6317,2020,23,16,17,Germany
1053-1807,2021,26,17,17,Germany
0340-6199,2021,20,17,17,Germany
1463-9262,2021,43,17,17,Germany
0010-3616,2020,29,17,17,Germany
0004-6337,2020,20,17,17,Germany
1860-6768,2020,19,17,17,Germany
0937-0862,2020,23,17,17,Germany
1866-6280,2021,19,17,17,Germany
0022-3727,2017,79,17,17,Germany
1862-7072,2021,28,17,17,Germany
1059-9630,2021,20,19,17,Germany
0950-382X,2020,22,16,17,Germany
0025-5874,2021,25,18,17,Germany
0960-3115,2021,21,17,17,Germany
0022-0957,2017,44,29,17,Germany
0031-6970,2020,22,17,17,Germany
1612-4669,2021,20,17,17,Germany
0021-8901,2020,19,17,17,Germany
0377-7332,2021,21,17,17,Germany
0887-6924,2017,49,17,17,Germany
0950-9232,2020,24,17,17,Germany
0032-079X,2021,18,17,17,Germany
1023-8883,2021,20,18,17,Germany
2050-6406,2021,21,19,17,Germany
0195-668X,2019,95,17,17,Germany
0947-5117,2020,20,17,17,Germany
0025-5831,2021,24,16,17,Germany
1040-7294,2021,22,17,17,Germany
1389-4420,2020,17,17,17,Germany
0256-7040,2021,17,17,17,Germany
1522-1946,2021,23,17,17,Germany
0959-6526,2021,107,17,17,Germany
0147-5916,2021,18,15,16,Germany
0937-9347,2021,19,16,16,Germany
0803-5253,2020,23,16,16,Germany
1569-5794,2021,20,17,16,Germany
0030-1299,2020,16,16,16,Germany
2169-9097,2021,17,16,16,Germany
1350-1763,2021,31,16,16,Germany
0031-9007,2017,347,76,16,Germany
0960-9822,2018,78,16,16,Germany
0921-898X,2021,17,16,16,Germany
1755-375X,2020,22,16,16,Germany
1866-9557,2021,19,17,16,Germany
0340-4099,2020,20,16,16,Germany
0730-7268,2020,16,16,16,Germany
2169-897X,2020,18,16,16,Germany
0178-2312,2021,91,11,16,Germany
2365-6549,2021,18,16,16,Germany
0720-728X,2021,16,15,16,Germany
0021-9967,2021,16,15,16,Germany
0957-0233,2021,22,5,16,Germany
2673-1665,2021,16,16,16,Germany
1613-9372,2021,16,16,16,Germany
0179-1958,2020,21,15,16,Germany
0340-2592,2020,171,15,16,Germany
0256-7040,2020,31,16,16,Germany
1865-9217,2020,58,16,16,Germany
0017-8470,2021,140,18,16,Germany
0007-0920,2017,16,16,16,Germany
1059-9630,2020,20,16,16,Germany
0197-9337,2020,20,16,16,Germany
0029-599X,2021,20,17,16,Germany
2169-897X,2019,26,16,16,Germany
0049-8653,2020,18,15,16,Germany
0945-6317,2021,21,17,16,Germany
1748-1708,2021,40,16,16,Germany
0302-766X,2020,22,16,16,Germany
2050-7496,2018,65,16,16,Germany
1436-3798,2021,17,16,16,Germany
0001-1541,2021,17,16,16,Germany
1432-9123,2020,39,16,16,Germany
2524-4957,2021,16,16,16,Germany
0933-7407,2020,18,16,16,Germany
1438-4639,2020,26,16,16,Germany
0340-5761,2017,74,16,16,Germany
0174-3635,2021,21,16,16,Germany
0043-5341,2021,27,16,16,Germany
1439-6319,2021,16,16,16,Germany
1059-9495,2021,18,16,16,Germany
0178-2312,2019,87,8,16,Germany
2512-2789,2020,23,16,16,Germany
0902-4441,2020,19,16,16,Germany
0937-0862,2021,20,16,16,Germany
0954-3007,2021,16,16,16,Germany
1754-5692,2020,20,16,16,Germany
1438-7492,2020,19,16,16,Germany
0894-1491,2021,17,16,16,Germany
0957-4484,2020,26,13,15,Germany
2196-7350,2019,52,15,15,Germany
1868-2502,2021,18,15,15,Germany
0014-4819,2021,16,15,15,Germany
2524-4957,2019,17,15,15,Germany
2214-7810,2021,47,15,15,Germany
0028-646X,2018,57,17,15,Germany
0305-0270,2020,17,15,15,Germany
0949-7714,2020,15,15,15,Germany
1090-3801,2020,18,15,15,Germany
1424-3199,2021,18,15,15,Germany
0025-5831,2020,17,15,15,Germany
2197-0378,2020,15,14,15,Germany
0006-3592,2019,34,15,15,Germany
0303-6979,2020,18,15,15,Germany
0165-5701,2021,23,15,15,Germany
1063-3995,2020,15,15,15,Germany
0951-5666,2021,15,15,15,Germany
0021-972X,2021,35,14,15,Germany
0037-0746,2021,15,15,15,Germany
0261-4189,2018,41,16,15,Germany
0951-4198,2021,22,15,15,Germany
1863-2653,2020,18,15,15,Germany
1867-1594,2021,18,15,15,Germany
2193-6218,2020,78,16,15,Germany
1618-7598,2021,21,15,15,Germany
2050-7526,2021,45,15,15,Germany
0044-2585,2021,17,15,15,Germany
1434-6060,2021,18,15,15,Germany
1073-5623,2020,19,14,15,Germany
1464-4177,2021,15,15,15,Germany
1862-6599,2021,26,15,15,Germany
1525-0016,2018,15,15,15,Germany
1359-5997,2021,16,15,15,Germany
0141-8955,2021,18,15,15,Germany
0342-4642,2020,20,14,15,Germany
1751-8113,2020,23,13,15,Germany
0167-594X,2021,19,15,15,Germany
0953-8984,2018,89,15,15,Germany
0885-6087,2020,17,15,15,Germany
0094-2405,2019,37,15,15,Germany
0377-0486,2021,18,15,15,Germany
1431-6730,2017,20,0,15,Germany
0018-9480,2021,29,6,15,Germany
2522-0063,2020,16,15,15,Germany
0903-1936,2021,30,11,15,Germany
1478-3223,2020,23,15,15,Germany
0040-0262,2020,18,15,15,Germany
0305-1846,2021,15,14,15,Germany
0265-9247,2020,16,15,15,Germany
0195-668X,2020,95,15,15,Germany
0022-2836,2021,32,14,15,Germany
0003-2700,2021,64,14,15,Germany
2513-0390,2021,17,15,15,Germany
0306-5251,2021,16,15,15,Germany
1613-4125,2021,16,15,15,Germany
1616-5187,2021,15,14,15,Germany
1436-9990,2018,145,15,15,Germany
1350-9047,2021,16,15,15,Germany
0021-9967,2020,17,15,15,Germany
1865-1674,2021,15,15,15,Germany
1053-1807,2020,21,15,15,Germany
1434-6028,2021,18,15,15,Germany
0175-7571,2021,18,15,15,Germany
1552-4922,2020,32,17,15,Germany
1088-1980,2020,15,15,15,Germany
1552-4825,2020,19,15,15,Germany
1552-4825,2021,23,15,15,Germany
0341-2695,2021,20,15,15,Germany
1434-6222,2020,98,15,15,Germany
2169-9003,2021,15,14,15,Germany
1172-0360,2018,43,14,15,Germany
0265-9247,2021,16,15,14,Germany
0021-8790,2020,14,14,14,Germany
2156-3403,2021,37,5,14,Germany
0268-3369,2020,26,10,14,Germany
0261-4189,2017,40,14,14,Germany
1354-1013,2019,27,14,14,Germany
1615-9853,2020,18,14,14,Germany
0953-4075,2018,34,14,14,Germany
1389-4420,2021,14,14,14,Germany
2194-4288,2019,53,14,14,Germany
1047-3211,2018,31,14,14,Germany
0171-6468,2021,14,14,14,Germany
0303-6979,2021,16,14,14,Germany
0364-5134,2019,26,14,14,Germany
0342-4642,2021,18,12,14,Germany
0007-1048,2020,24,14,14,Germany
0165-0106,2020,16,14,14,Germany
0020-1669,2021,143,12,14,Germany
0031-6970,2021,16,15,14,Germany
0959-8049,2019,41,14,14,Germany
2192-1741,2021,15,9,14,Germany
0950-1991,2021,29,20,14,Germany
2198-1639,2020,16,13,14,Germany
0271-9142,2021,15,14,14,Germany
0323-3847,2021,18,12,14,Germany
0028-3940,2020,21,14,14,Germany
0147-8389,2021,16,14,14,Germany
2190-5444,2021,19,14,14,Germany
0278-7407,2020,17,14,14,Germany
1420-682X,2019,39,13,14,Germany
0105-1873,2020,18,14,14,Germany
2198-1639,2021,15,14,14,Germany
1023-8883,2020,17,14,14,Germany
0024-3590,2019,16,14,14,Germany
0033-183X,2020,14,14,14,Germany
1864-063X,2021,14,13,14,Germany
1523-7052,2021,81,14,14,Germany
0018-3768,2020,16,14,14,Germany
1672-7681,2021,15,14,14,Germany
1090-3801,2021,15,14,14,Germany
0932-0113,2021,15,14,14,Germany
0903-1936,2020,40,14,14,Germany
0921-2973,2020,14,14,14,Germany
0140-7791,2021,15,14,14,Germany
0017-5749,2020,25,14,14,Germany
0947-6539,2017,464,14,14,Germany
1462-2912,2018,42,14,14,Germany
1615-147X,2021,16,14,14,Germany
2169-9380,2020,15,14,14,Germany
0949-1147,2020,15,14,14,Germany
0012-0472,2020,123,14,14,Germany
0009-2665,2021,37,13,14,Germany
0948-6143,2021,17,14,14,Germany
1355-008X,2021,20,14,14,Germany
1752-458X,2021,14,14,14,Germany
1437-3254,2020,21,14,14,Germany
0962-9343,2020,20,14,14,Germany
1466-822X,2021,14,14,14,Germany
0008-6363,2021,43,13,14,Germany
0044-2429,2019,20,0,14,Germany
1099-0496,2021,15,14,14,Germany
0022-3042,2021,17,14,14,Germany
0013-936X,2021,55,13,14,Germany
0021-9886,2021,15,13,14,Germany
0022-3751,2021,19,14,14,Germany
1018-4813,2020,20,14,14,Germany
0340-5443,2020,20,14,14,Germany
0144-5596,2021,14,14,14,Germany
1057-9249,2021,15,14,14,Germany
0022-4715,2021,16,15,14,Germany
1546-542X,2021,14,14,14,Germany
1431-9276,2021,18,12,14,Germany
2642-4150,2021,15,14,14,Germany
0195-928X,2021,18,14,14,Germany
2190-6890,2021,17,14,14,Germany
0168-8278,2021,55,13,14,Germany
0264-6021,2020,18,13,13,Germany
0165-0106,2021,18,13,13,Germany
1525-2027,2019,30,13,13,Germany
1350-9047,2020,17,13,13,Germany
1433-2779,2021,13,13,13,Germany
0023-852X,2020,15,13,13,Germany
0720-728X,2020,16,13,13,Germany
0925-4560,2021,15,13,13,Germany
0014-2980,2019,31,13,13,Germany
0276-3478,2020,15,13,13,Germany
1464-4177,2020,14,13,13,Germany
1047-3211,2021,42,14,13,Germany
2044-4753,2020,45,13,13,Germany
0192-8651,2021,15,13,13,Germany
1751-7362,2018,20,13,13,Germany
0902-4441,2021,18,13,13,Germany
0022-2836,2020,43,13,13,Germany
0021-9886,2020,19,13,13,Germany
0036-6978,2021,13,13,13,Germany
0170-6012,2020,46,14,13,Germany
1865-9217,2021,60,13,13,Germany
0044-2267,2020,18,12,13,Germany
0006-3231,2021,13,12,13,Germany
0173-0835,2020,16,13,13,Germany
0142-2421,2020,17,13,13,Germany
0022-3727,2018,64,13,13,Germany
0968-5243,2021,14,12,13,Germany
1424-3199,2020,17,13,13,Germany
1089-5639,2021,71,14,13,Germany
2625-073X,2021,13,13,13,Germany
0305-0270,2021,13,12,13,Germany
1460-2695,2020,16,13,13,Germany
2305-221X,2021,14,13,13,Germany
1538-7836,2020,16,13,13,Germany
0014-5793,2019,31,13,13,Germany
0340-6199,2020,16,13,13,Germany
0960-9822,2019,80,13,13,Germany
0747-5632,2021,42,13,13,Germany
1754-5692,2021,16,13,13,Germany
1530-7026,2021,13,13,13,Germany
0360-4012,2021,13,13,13,Germany
0894-1491,2019,28,13,13,Germany
1047-3211,2019,35,13,13,Germany
1615-6846,2020,15,13,13,Germany
0264-8377,2021,38,13,13,Germany
1068-9265,2020,16,13,13,Germany
0269-8463,2020,13,13,13,Germany
0301-4215,2021,44,13,13,Germany
0041-1132,2021,14,12,13,Germany
1617-416X,2020,17,13,13,Germany
