esac_publisher,country_code,cr_year,oa_n,n,has_ta
Wolters Kluwer Health,NA,2019,0,21939,FALSE
Wolters Kluwer Health,NA,2022,0,19190,FALSE
"Mary Ann Liebert, Inc.",NA,2020,0,704,FALSE
"Mary Ann Liebert, Inc.",NA,2021,0,640,FALSE
"Mary Ann Liebert, Inc.",NA,2019,0,843,FALSE
"Mary Ann Liebert, Inc.",NA,2018,0,1215,FALSE
"Mary Ann Liebert, Inc.",NA,2017,0,1460,FALSE
"Mary Ann Liebert, Inc.",NA,2022,0,620,FALSE
Oxford University Press,NA,2021,0,7589,FALSE
Oxford University Press,NA,2022,0,9278,FALSE
Oxford University Press,NA,2018,0,9233,FALSE
Oxford University Press,NA,2019,0,7606,FALSE
Oxford University Press,NA,2017,0,20464,FALSE
Oxford University Press,NA,2020,0,8035,FALSE
Trans Tech Publications,NA,2022,0,445,FALSE
Trans Tech Publications,NA,2017,0,736,FALSE
Trans Tech Publications,NA,2019,0,594,FALSE
Trans Tech Publications,NA,2020,0,622,FALSE
Trans Tech Publications,NA,2018,0,795,FALSE
Trans Tech Publications,NA,2021,0,604,FALSE
Bristol University Press,NA,2017,0,230,FALSE
Bristol University Press,NA,2021,0,46,FALSE
Bristol University Press,NA,2019,0,349,FALSE
Bristol University Press,NA,2022,0,22,FALSE
Bristol University Press,NA,2020,0,59,FALSE
Bristol University Press,NA,2018,0,251,FALSE
American Chemical Society,NA,2019,0,11726,FALSE
American Chemical Society,NA,2021,0,8432,FALSE
American Chemical Society,NA,2018,0,10732,FALSE
American Chemical Society,NA,2017,0,8881,FALSE
American Chemical Society,NA,2022,0,6956,FALSE
American Chemical Society,NA,2020,0,8988,FALSE
American Physical Society,NA,2022,0,4845,FALSE
American Physical Society,NA,2019,0,2270,FALSE
American Physical Society,NA,2017,0,3090,FALSE
American Physical Society,NA,2021,0,1794,FALSE
American Physical Society,NA,2020,0,1692,FALSE
American Physical Society,NA,2018,0,3120,FALSE
John Benjamins Publishing,NA,2019,0,200,FALSE
John Benjamins Publishing,NA,2021,0,373,FALSE
John Benjamins Publishing,NA,2018,0,222,FALSE
John Benjamins Publishing,NA,2017,0,318,FALSE
John Benjamins Publishing,NA,2022,0,929,FALSE
John Benjamins Publishing,NA,2020,0,217,FALSE
Bentham Science Publishers,NA,2019,0,309,FALSE
Bentham Science Publishers,NA,2018,0,996,FALSE
Bentham Science Publishers,NA,2022,0,421,FALSE
Bentham Science Publishers,NA,2020,0,576,FALSE
Bentham Science Publishers,NA,2017,0,2408,FALSE
Bentham Science Publishers,NA,2021,0,716,FALSE
Cambridge University Press,NA,2021,0,16232,FALSE
Cambridge University Press,NA,2018,0,17037,FALSE
Cambridge University Press,NA,2022,0,5671,FALSE
Cambridge University Press,NA,2020,0,15109,FALSE
Cambridge University Press,NA,2019,0,15844,FALSE
Cambridge University Press,NA,2017,0,16039,FALSE
Royal Society of Chemistry,NA,2021,0,4924,FALSE
Royal Society of Chemistry,NA,2022,0,19366,FALSE
Royal Society of Chemistry,NA,2018,0,5152,FALSE
Royal Society of Chemistry,NA,2019,0,5278,FALSE
Royal Society of Chemistry,NA,2017,0,5028,FALSE
Royal Society of Chemistry,NA,2020,0,5245,FALSE
Canadian Science Publishing,NA,2018,0,125,FALSE
Canadian Science Publishing,NA,2022,0,233,FALSE
Canadian Science Publishing,NA,2021,0,67,FALSE
Canadian Science Publishing,NA,2019,0,113,FALSE
Canadian Science Publishing,NA,2020,0,101,FALSE
Canadian Science Publishing,NA,2017,0,203,FALSE
The Electrochemical Society,NA,2019,0,6406,FALSE
The Electrochemical Society,NA,2020,0,6770,FALSE
The Electrochemical Society,NA,2018,0,5777,FALSE
The Electrochemical Society,NA,2022,0,4738,FALSE
The Electrochemical Society,NA,2021,0,4989,FALSE
The Electrochemical Society,NA,2017,0,3951,FALSE
European Respiratory Society,NA,2017,0,43,FALSE
European Respiratory Society,NA,2022,0,69,FALSE
European Respiratory Society,NA,2018,0,28,FALSE
European Respiratory Society,NA,2020,0,29,FALSE
European Respiratory Society,NA,2019,0,21,FALSE
European Respiratory Society,NA,2021,0,22,FALSE
National Academy of Sciences,NA,2018,0,648,FALSE
National Academy of Sciences,NA,2021,0,638,FALSE
National Academy of Sciences,NA,2019,0,618,FALSE
National Academy of Sciences,NA,2022,0,473,FALSE
National Academy of Sciences,NA,2017,0,646,FALSE
National Academy of Sciences,NA,2020,0,683,FALSE
American Physiological Society,NA,2018,0,148,FALSE
American Physiological Society,NA,2020,0,154,FALSE
American Physiological Society,NA,2017,0,175,FALSE
American Physiological Society,NA,2021,0,137,FALSE
American Physiological Society,NA,2019,0,152,FALSE
American Physiological Society,NA,2022,0,101,FALSE
The Geological Society of London,NA,2021,0,30,FALSE
The Geological Society of London,NA,2022,0,39,FALSE
The Geological Society of London,NA,2020,0,96,FALSE
The Geological Society of London,NA,2019,0,62,FALSE
The Geological Society of London,NA,2018,0,64,FALSE
The Geological Society of London,NA,2017,0,69,FALSE
Association for Computing Machinery,NA,2020,0,654,FALSE
Association for Computing Machinery,NA,2021,0,807,FALSE
Association for Computing Machinery,NA,2017,0,962,FALSE
Association for Computing Machinery,NA,2019,0,755,FALSE
Association for Computing Machinery,NA,2018,0,883,FALSE
Association for Computing Machinery,NA,2022,0,1577,FALSE
Cold Spring Harbor Laboratory Press,NA,2017,0,24,FALSE
Cold Spring Harbor Laboratory Press,NA,2020,0,16,FALSE
Cold Spring Harbor Laboratory Press,NA,2018,0,23,FALSE
Cold Spring Harbor Laboratory Press,NA,2021,0,27,FALSE
Cold Spring Harbor Laboratory Press,NA,2019,0,18,FALSE
Cold Spring Harbor Laboratory Press,NA,2022,0,34,FALSE
Radiological Society of North America,NA,2021,0,191,FALSE
Radiological Society of North America,NA,2018,0,164,FALSE
Radiological Society of North America,NA,2022,0,248,FALSE
Radiological Society of North America,NA,2020,0,187,FALSE
Radiological Society of North America,NA,2019,0,139,FALSE
Radiological Society of North America,NA,2017,0,172,FALSE
Royal College of General Practitioners,NA,2017,0,157,FALSE
Royal College of General Practitioners,NA,2020,0,190,FALSE
Royal College of General Practitioners,NA,2018,0,164,FALSE
Royal College of General Practitioners,NA,2022,0,104,FALSE
Royal College of General Practitioners,NA,2021,0,122,FALSE
Royal College of General Practitioners,NA,2019,0,193,FALSE
Wiley,AD,2022,0,2,FALSE
Wiley,AD,2017,0,1,FALSE
Elsevier,AD,2019,0,2,FALSE
Elsevier,AD,2020,0,1,FALSE
Elsevier,AD,2022,0,1,FALSE
Elsevier,AD,2021,0,2,FALSE
Elsevier,AD,2018,0,2,FALSE
Springer Nature,AD,2022,0,1,FALSE
Springer Nature,AD,2021,0,2,FALSE
Springer Nature,AD,2020,0,1,FALSE
IEEE,AE,2019,0,64,FALSE
IEEE,AE,2021,22,109,FALSE
IEEE,AE,2022,10,105,FALSE
IEEE,AE,2017,1,72,FALSE
IEEE,AE,2018,0,77,FALSE
IEEE,AE,2020,4,92,FALSE
SPIE,AE,2017,0,2,FALSE
SPIE,AE,2020,0,1,FALSE
SPIE,AE,2021,0,1,FALSE
SPIE,AE,2019,0,1,FALSE
SPIE,AE,2018,0,1,FALSE
Sage,AE,2020,4,52,FALSE
Sage,AE,2022,3,43,FALSE
Sage,AE,2018,0,27,FALSE
Sage,AE,2021,1,49,FALSE
Sage,AE,2017,0,27,FALSE
Sage,AE,2019,0,48,FALSE
Brill,AE,2019,0,15,FALSE
Brill,AE,2018,0,8,FALSE
Brill,AE,2017,0,1,FALSE
Brill,AE,2022,1,14,FALSE
Brill,AE,2021,2,24,FALSE
Brill,AE,2020,3,17,FALSE
CSIRO,AE,2018,0,1,FALSE
CSIRO,AE,2022,0,2,FALSE
CSIRO,AE,2019,0,1,FALSE
CSIRO,AE,2017,0,1,FALSE
Wiley,AE,2019,4,112,FALSE
Wiley,AE,2020,19,187,FALSE
Wiley,AE,2022,26,140,FALSE
Wiley,AE,2018,2,128,FALSE
Wiley,AE,2017,2,105,FALSE
Wiley,AE,2021,28,193,FALSE
Karger,AE,2021,3,4,FALSE
Karger,AE,2020,0,2,FALSE
Karger,AE,2019,0,3,FALSE
Karger,AE,2017,0,1,FALSE
Karger,AE,2018,0,2,FALSE
Thieme,AE,2021,0,3,FALSE
Thieme,AE,2019,0,3,FALSE
Thieme,AE,2018,0,1,FALSE
Thieme,AE,2020,0,1,FALSE
Thieme,AE,2022,0,1,FALSE
Emerald,AE,2022,0,108,FALSE
Emerald,AE,2017,0,6,FALSE
Emerald,AE,2018,1,17,FALSE
Emerald,AE,2019,0,8,FALSE
Emerald,AE,2021,0,18,FALSE
Emerald,AE,2020,0,5,FALSE
Hogrefe,AE,2019,0,1,FALSE
Hogrefe,AE,2017,0,1,FALSE
Elsevier,AE,2020,23,685,FALSE
Elsevier,AE,2022,68,744,FALSE
