cr_year,issn_l,article_total,tdm_total,orcid_total,funder_total,abstract_total,ref_total,cat
2018,0002-919X,1,0,0,0,0,0,Global
2019,0002-919X,1,0,0,0,1,0,Global
2020,0002-919X,1,0,0,0,1,0,Global
2021,0002-919X,3,0,0,0,3,0,Global
2021,0002-919X,2,0,0,0,2,0,Germany
2022,0002-919X,3,0,0,0,1,0,Global
2020,0002-9246,1,1,0,0,0,1,Global
2021,0002-9246,6,6,0,0,0,6,Global
2022,0002-9246,4,4,0,0,0,4,Global
2017,0002-9262,20,0,2,15,0,20,Global
2018,0002-9262,34,0,16,22,4,34,Global
2019,0002-9262,38,0,20,29,29,38,Global
2020,0002-9262,36,0,0,27,35,36,Global
2020,0002-9262,1,0,0,1,1,1,Germany
2021,0002-9262,47,0,0,8,44,47,Global
2021,0002-9262,1,0,0,0,1,1,Germany
2022,0002-9262,15,0,0,0,15,15,Global
2022,0002-9262,1,0,0,0,1,1,Germany
2017,0002-9270,4,4,0,0,0,4,Global
2017,0002-9297,30,30,0,22,0,28,Global
2017,0002-9297,2,2,0,2,0,2,Germany
2018,0002-9297,27,27,0,25,0,26,Global
2018,0002-9297,1,1,0,1,0,1,Germany
2019,0002-9297,29,29,6,28,0,28,Global
2019,0002-9297,1,1,0,1,0,1,Germany
2020,0002-9297,38,38,13,34,0,35,Global
2020,0002-9297,1,1,0,1,0,1,Germany
2021,0002-9297,39,39,17,25,0,37,Global
2021,0002-9297,2,2,1,2,0,2,Germany
2022,0002-9297,41,41,30,8,0,38,Global
2022,0002-9297,4,4,2,0,0,4,Germany
2021,0002-9300,4,0,1,0,4,4,Global
2022,0002-9300,4,0,0,2,3,4,Global
2022,0002-9300,1,0,0,0,1,1,Germany
2019,0002-9319,1,0,0,0,0,0,Global
2021,0002-9319,3,0,0,1,2,0,Global
2022,0002-9319,1,0,1,0,1,0,Global
2017,0002-9343,9,9,2,1,0,9,Global
2018,0002-9343,4,4,3,2,0,4,Global
2019,0002-9343,6,6,3,1,0,6,Global
2020,0002-9343,12,12,10,2,0,12,Global
2021,0002-9343,16,16,15,8,0,16,Global
2022,0002-9343,25,25,22,9,0,25,Global
2017,0002-9378,18,18,7,0,0,18,Global
2018,0002-9378,8,8,6,3,0,8,Global
2018,0002-9378,1,1,0,0,0,1,Germany
2019,0002-9378,10,10,7,10,0,10,Global
2020,0002-9378,18,18,11,15,0,18,Global
2021,0002-9378,39,39,34,27,0,38,Global
2022,0002-9378,73,73,66,32,0,69,Global
2017,0002-9394,13,13,4,2,0,13,Global
2018,0002-9394,20,20,9,4,0,20,Global
2018,0002-9394,1,1,1,0,0,1,Germany
2019,0002-9394,26,26,12,24,0,26,Global
2020,0002-9394,36,36,18,23,0,36,Global
2020,0002-9394,1,1,1,1,0,1,Germany
2021,0002-9394,48,48,34,30,0,46,Global
2022,0002-9394,64,64,61,25,0,60,Global
2022,0002-9394,1,1,1,0,0,0,Germany
